tweet,sentiment
"@lepetitagneau whats going on sweetheart?","neutral"
"How can it be so freaking difficult to get a system-wide spellchecker? Shit","neutral"
"Last one month due to summer","worry"
"@willxxmobb work at 6am. Gotta go to bed soon","neutral"
"@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha","love"
"@sweeetnspicy hiii im on my ipod...i cant fall asleep","sadness"
"dont wanna work 11-830 tomorrow  but i get paid","sadness"
"feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux","sadness"
"PrinceCharming","neutral"
"@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teachers life in the summer SUCKS","hate"
"First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  )","worry"
"@mrgenius23 You win ... SIGH Rakeem","hate"
"Oh is that time for real?","neutral"
"Darn these allergies! I dont like this time of year because of this! I never used to have this problem either","sadness"
"Oh no one minute too late! Oh well","worry"
"@soviet_star Damn","hate"
"@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teachers life in the summer SUCKS","sadness"
"@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up","hate"
"ahh! big scary bug flying around my room!!!!!","worry"
"I wish she knew what she puts me through..She stole my heart","sadness"
"is up with a nasty cough i cant be sick i have a huge weekend ahead of me","worry"
"@justamedicine  That was stone cold   Crazy....  ?","neutral"
"im so tired","boredom"
"shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo","neutral"
"@melbournegirl Im sure some1 will cum out and play. Im workin through til midnight.","neutral"
"@thecreativeone I second that. I wish it rained more where I am","neutral"
"@neesabear early happy day of birth in case I dont make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!","sadness"
"damn it were is Eric or anyone else when you need your hair to be played with","neutral"
"Im feel deflated. Ugh. No more dog.","neutral"
"Allergies suck ducks nuts.     &lt=====8@8=====&gt","sadness"
"Well it almost was a good day... Guess I just retry tomorrow","neutral"
"@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku","hate"
"@freepbx sounds good. Appreciate the suggestion. Been a week now and were still offline  Time to ask for a refund...","love"
"@poinktoinkdoink He died.  Wait","worry"
"@britblackbird  youstinkatrespondingtotexts!","hate"
"wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54","sadness"
"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow","happiness"
"Is miserable  i feel like im gona cry  sux!","sadness"
"@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.","neutral"
"$#@! My nose stud fell out and I cant find it  Looks like Ill have to head into Amsterdam today and get a new one","worry"
"claire @breakfastnt love the show","neutral"
"Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.","love"
"*sigh* Im going to bed... I just dont feel right anymore...","sadness"
"What? I focused on Tom so much I didnt see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.","neutral"
"@jwillock EpiCentre Wheelock Place - tourists only..","neutral"
"Now I am depressed after watching so you think you can dance","sadness"
"Just cross cause Im stuck twiddling my thumbs now","sadness"
"miss 16th","neutral"
"I cant sleep","worry"
"@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby","neutral"
"@softtouchme just answered you- never learned how to write in French- just basic stuff-","empty"
"Achieving a new appreciation on how a xml build script can really be painful and cumbersome","worry"
"@ether_radio im too awake now  ill have a nap this afternoon","neutral"
"still needs another 6 hours of sleep","neutral"
"Im at work","relief"
"RIP leonardo. You were a great mini fiddler crab","fun"
"Morning tweeple","neutral"
"Last day working for the Uni today","sadness"
"@NisforNeemah thanks neemah. Im gonna be soooo close to you and izzy","love"
"My head hurts so bad I could scream!","worry"
"i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain","worry"
"New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice","worry"
"New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...","worry"
"where are all ma bestfriends at ? ","neutral"
"oh men!!!!!!......I really cant see my face........cmon guys!!!","worry"
"Im showing my age. Renewed my tags last week","worry"
"my sole supporter is not my sole supporter","worry"
"dont you hate it when you finish all your work and theres still 1.25 hours left of work time","hate"
"@Emilyyy16 urgh stop it guys","worry"
"is still missing her husband.    I really want him home.","sadness"
"I miss my puppy","sadness"
"2 days of this month left","surprise"
"@IdleThumbs Up is out?  I didnt get the memo   It looks amazing.","fun"
"@nzdeany Ive given up on pizza - kids would never let me have my fav  (the hot ones)","sadness"
"Up reading tabloids about other peoples lives...thinking what Im gonna do with mine when my baby leaves?","worry"
"@BarbSchaefer yearling in pet home died... very sad for their whole family","sadness"
"fun in the sun hmmm hell no its cold","neutral"
"I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!","worry"
"@heresmyhello92 We hate change","sadness"
"is feeling sad... for some reason..  http://plurk.com/p/wxji3","worry"
"well fuck- this new pain med has an odd warning that actually applies to me. i cant take this. -chan is displeased.","sadness"
"just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad","sadness"
"@juneyee i dont think so.  I WANT DETAILS.","neutral"
"@jackgraycnn Hi...!!! Who is Mary Poppins???","neutral"
"@jaychuck Its so addicting","worry"
"my last tweet didnt send  bad phone","neutral"
"@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  Im going insane Grrr You doing anything tonight?","fun"
"Have a headache  Im going to bed. Goodnight!","empty"
"@taxidermi  I was watching Parental Control","neutral"
"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses","fun"
"I just saw pics from this past Thanksgiving and am sad because Grandma was in them.","sadness"
"@jertronic it wont let me","worry"
"Took a shift tomorrow.    I dont really feel like working right now.","sadness"
"but now i have no money for a phone","sadness"
"Spent last night in A&ampE (ER). Wife tangled wheels with Daughter &amp hit the deck. Dislocation &amp fracture resulted.","worry"
"@TheLastDoctor 9 days  Im about ready to visit Torchwood and see if theyve heard anything","worry"
"@Bern_morley where are you? In Bris? I cant hear any thunder","surprise"
"bec vs fat food   --- winner = fat food  but not this weeknend","surprise"
"Too bad the Red Devils.. disappointing to say the least","sadness"
"I had a dream about a pretty pretty beach and there was no beach when I woke up","surprise"
"when da heck will the garage man get here I ask you.. WHEN..","surprise"
"Ate Mandy","worry"
"@melluffsyew Umm yeah. Thats probably a pretty good note to self because eeeeeewwwwwwww.","hate"
"why are plane tickets so expensive","worry"
"(@wendyisastar) @melluffsyew Umm yeah. Thats probably a pretty good note to self because eeeeeewwwwwwww.","fun"
"Needs a job BADLY!!!","worry"
"@AlexanderGWhite daaammmnnnnn I do wish I was there.","sadness"
"Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb","worry"
"@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner","sadness"
"@DymeDiva23 Nite. Now Im up n bored as opposed to almost sleep frm b 4","empty"
"is a bad friend","sadness"
"@rlcpbiatch happy birthdayyy! hope you have an awesome day. didnt see you at next last night!","neutral"
"@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin","hate"
"@aiderushton ill be over in an oir","neutral"
"@only1kcj guess its a no go girlie. Im still at the gym and work at 6:30am","neutral"
"would wish the severe migrains would stop!!! docs prescriptions arent working","hate"
"@bobbyedner i missed the game","love"
"@moggy99 No internet last night ER was brill","sadness"
"@tiffalo cuz airlines are super lame.","hate"
"@lenje - Still a pity it comes with no lamb though","sadness"
"@bloomsday16  Im sorry to hear that. Here is my optimist: Things will get better. For all of us.","sadness"
"is done painting all the bedroom furniture","relief"
"Im so very tired...and have insomnia.","hate"
"@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down","neutral"
"@yelgiuQnayR airport? and you didnt show up tonight homo!","neutral"
"I hate Bakersfield and I hate the Ports","hate"
"Looking for desktop twitter app that will actually let you access URLs","neutral"
"people in my house do not know how to close doors","worry"
"Why am I completing facebook quizzes at this time of the morning... especially a friday morning","surprise"
"out with @lizzziemonster &amp @jamiejamess i am soooo hungry","neutral"
"@munchkinhugs I dont like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death","worry"
"Had to cancel wow for now","sadness"
"wants to make a music profile but i dont have money i dont know how to write music i dont know how to play an instrument and no studio","worry"
"@fairyfroggie But yeah...Im sad about my &quotRavenclaw&quot account. I love that account to bits.","sadness"
"Its 1:15 AM","worry"
"@__sugar oh no  i am always here ) &lt3","worry"
"back from school. Ms Suhanas last day as our FT  OCU was okay. Im playing ALTNOY over and over again.","neutral"
"@ poll : was trying to get it to work in a powerpoint to no avail.","neutral"
"took a math test today. The day before the test","happiness"
"omg","happiness"
"@livestrongnj yeah","neutral"
"Up late with nothin 2 do.....","sadness"
"i think the vog is making me sicker than i think. feeling slightly achy","worry"
"@TheTombert i was watching Harpers Island","empty"
"i am doing homework it sux big time maths is the worst!!!!!!","worry"
"sometimes i wish things could go back to the way they were the beginning of last summer","sadness"
"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets","worry"
"@tarng Trudys off Burnet...the one up north that no one goes to","empty"
"@kateisbored I feel the same way","sadness"
"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already","happiness"
"im sooooooooooooo confused","worry"
"With friends like VaikO","neutral"
"Work day 7 of 7","worry"
"Chillin with the roomies. Cant wait for the zombie CLWN CR. Its gonna be 6-8 weeks","happiness"
"I looove guitars","neutral"
"@SuperJerry No refunds but they do retrieve accounts","worry"
"@mysticnz no im not  cries LOL","neutral"
"Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL","sadness"
"@Gurlstrange EpiCentre Wheelock Place","surprise"
"I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.","hate"
"Come on Knight... Its been well over 4 hours","neutral"
"not super keen on the drive home through the rain.. additional concentration required that i dont really wanna deal with","worry"
"@FoxxFiles aw u cant let me in on the secret!","surprise"
"@freshypanda Im sorry  I dont think I stick out","surprise"
"no transport for church  wont be making it","worry"
"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately","hate"
"Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!","hate"
"twittascope is NOT rocking my socks - go away already!!","neutral"
"Driving Back home because I forgot the piece of cake for @v_era","neutral"
"@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldnt have eaten that cookie.  http://myloc.me/1XIz","worry"
"Everytime I send an email to my coach","sadness"
"Its pissing me off and not letting me follow ericka","sadness"
"Is going to sleep not peaceful  wanted to hear him say Good Night but that didnt happen  Good Night everyone....","sadness"
"my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.","sadness"
"@koifusionpdx i was so close to the tacos...one spot too late","neutral"
"@msz_rockstar umm how bout em?..aint get 2 see da game  but i see dey survived anotha game of da series due to notin but Lebron im guessin","empty"
"is thinking so much and im at work","surprise"
"I have forgot the live with the Jonas Brothers on Facebook","worry"
"I havent seen Muffin in two whole days!","sadness"
"@YumiFujii ill miss yall back... give @LesleyBoudy my regards...","sadness"
"my gap year is going so quick","surprise"
"I have to admit","worry"
"@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home","neutral"
"my twitter has been hacked again","worry"
"Just found mj mouse flats at DJs. Of course there are none left in my size","sadness"
"@passingcarss i wont have time to buy  and i need a new binder pa","neutral"
"@lanacaitlin  hahaha well its try its so ugly","hate"
"25-man Ulduar is hard...","neutral"
"@jmoriarty I dont even want to know WHY you know about VHEMT","worry"
"@OooChelcyooO Thats awesome! We have that this weekend too but I cant go because Im moving this Sat.  I should be a lot of fun though","fun"
"night night twitter world. [still cant believe the thomas thing  tomorrows gunna be FUN/SAD]","neutral"
"@princess_oats this is happening to me too","neutral"
"@qi_tah oh no.  *hugs*","surprise"
"@oxygen8705 bored now because i was talking to someone but now theyre busy with something else  just kinda a bummer","neutral"
"@xoshayzers i knoww  things wont be the samee &lt/3","sadness"
"OMG-ness its 11:18 pm and I need to beup early to set up my garage sale it starts a 8am","worry"
"@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me","happiness"
"ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.","neutral"
"Decided that no matter how good my hair looks curly it doesnt justify the burn I get from the curler! My hands covered  I suck at it!","worry"
"Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck","sadness"
"@ThaBillCollecta  YEA     I GOTTA BE UP AT 7:30","neutral"
"I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.","hate"
"sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend","worry"
"I cant believe the Metal Gear Solid song was stolen    Im so disappointed  http://bit.ly/YKkSu","sadness"
"think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!","hate"
"Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day","neutral"
"@MacZombieRawr  I wish I had Left 4 Dead. But first Id need something to play it on...","sadness"
"@digenis that story reminds of living in Portugal","neutral"
"@jhicks  youre diabetic?   so is my dad.  &amp i might be too","neutral"
"I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.","happiness"
"my roommate @tess_tickle loves to ignore me","hate"
"@SuperFiasco  Ill make him nachos tomorrow. Better than if he would have made them himself.","neutral"
"@MyDailyRoutine yeahhh. &ampdont judge my pillow","neutral"
"Scary lightning and thunder  Im glad its over now. Going to sleep","relief"
"my teeth and head hurts","sadness"
"I HATE rob zombie movies. &amp the smell of weed. Vommmm.","sadness"
"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography","hate"
"Waiting in line @ tryst","boredom"
"Hope I get a job cuz we need an apartment. Im drunk &amp miss my lil punkin  TEHE!!!","worry"
"just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover","worry"
"I need to be held...  Gnite.","worry"
"Hanging out with sam","worry"
"yay","neutral"
"no more arrested development. i am sad.","sadness"
"@Giggles_xo  wicked ","neutral"
"omg i keep losing followers this is so sad  i want 90 one day....thats my goal D","sadness"
"I feel so deflated. No more doggy.","sadness"
"@blood_rain i wanna see her hair  hows everyone?","worry"
"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8","sadness"
"im contacting PAWS Philippines so i can find &quottiger&quot a new owner. im so sad. i love my dog soo much","sadness"
"just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over","sadness"
"Aww...  Pray for the arroyo family everyone!","worry"
"@the_babsi theres a manual process... but its taking 4ever on my outlook database... pffff. crappy msft product","neutral"
"Fuuudge. Movie store is closed","sadness"
"ALO is so sad and quiet and empty tonight","sadness"
"@meganmansyn Hahahaha! Its not horrible","hate"
"@wuzzyangel You never answered your DM I sent you....   I need your info...","worry"
"Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...","worry"
"@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie","sadness"
"I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!","worry"
"@jose3030 I didnt think anyone caught that","worry"
"I need to be sleeping.. But im not even tired..","empty"
"OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE","neutral"
"lyin in bed","neutral"
"Sad that Christian Lacroix had to file bankruptcy","sadness"
"I dont feel good AT ALL. fuckkk","sadness"
"why did i agree to work a double shift","boredom"
"looks like ill never go to the zoo","worry"
"@djvinceadams Ohh poor girl  Ill email her... I am relying on you being here in October Mr!!","worry"
"When will Medhurst play again?","neutral"
"@Moss1982 bad times?","worry"
"aarrgghh - fu*k.....a hose has leaked water all over the new floating floor","hate"
"Have to go to the dreaded DMV tomorrow","sadness"
"@duncm Im a bit Bens Thai-ed out","neutral"
"english class! working on interactive orals","happiness"
"@SharonHayes Thank you for the rec but that doesnt work","worry"
"@dmoneymania  Im sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?","neutral"
"My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie","worry"
"I dont know how ima work out tomorrow wit my body dis sore  ugh","worry"
"in 7-11  w/o you","neutral"
"@becjee Yeah","neutral"
"Im feeling this pressure in my head that always kicks in just before a nasty headache. Im not looking forward to this.","worry"
"Taylor Swift and Joe Jonas looked really good together. Im kinda sad they broke up.","sadness"
"Im suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts.","worry"
"Lady across the way had a miscarriage","worry"
"God I just want to sleep.","sadness"
"@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??","hate"
"I feel so deflated. No more doggy.","worry"
"Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes","sadness"
"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED","hate"
"is feeling bad  just got bad news about my Mum","worry"
"@RealBlackWidow But but I dun wanna","sadness"
"@imjustlalayone damn girl Im so down but ya gotta let me know so I can get my kit together &amp I got a flyer  Any next weekend? I&quotM DOWN!","sadness"
"@JustinOdom dbl booooooo for being sick","sadness"
"@brettyrocks thats what i was thinking but the only time its gonna be on is 1 am!","neutral"
"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool","neutral"
"dont feel like working  I think I tweet this too often!","worry"
"feels sick to my stomach and idkk whyy","sadness"
"vineri...nimic special sau probabil un alt weekend pierdut...","worry"
"Counting the hours of lost sunshine until the Weekend","neutral"
"@justintevya - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didnt see any sun while i was there tho","surprise"
"is home.  safely... but hungry","relief"
"@hello_jodie Um","sadness"
"got to final table","worry"
"good morning work this morning gutted lol nevermind","neutral"
"I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!","hate"
"FB is boring   and i wanna sing RIGHT NOW..! *-*","happiness"
"@judyrey  The link doesnt work","sadness"
"@Deedubau hahaha I dont know anyone or anything about it except they have powers lol... I live in my own bubble","neutral"
"The humpalow um ya I think so... Cell is dying","worry"
"Last day at work...Sick to the bone","worry"
"i feel like Im on house arrest.","worry"
"love is like a war","neutral"
"@heavenjones ur supposed to be in BK tho","surprise"
"@cosmiclagoon Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad","worry"
"Oh no!  Nighty night.","surprise"
"@celldweller Must... have... new music... I wont sleep until you give us Chapter 1... I might die first though...  Hurry!","happiness"
"my stupid tooooth hurts","sadness"
"@neyoofficial: love the song &quottogether&quot. thats &quothis&quot song for me...well i think its still is","love"
"Ready To Go @ School","neutral"
"@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.","sadness"
"@Richard_Gable Its good isnt it! Our holiday chalet is out of sight but look v similar to those ones. Going home again today","neutral"
"Its a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...","worry"
"@jarekpastor Im just starting to feel really panicky and anxious that something bad has happened cos it seems like its been ages","worry"
"my dog ran awayyy","worry"
"@all_is_one84 Those suck so bad.","hate"
"Im back. top molar extracted  swollen face","worry"
"just finished 8 hours of Texas Life Insurance CE tonight","relief"
"does anyone know any good rap songs? i need to make a rap/fun cd and i have no idea  helllllpppp","worry"
"I want to go to Peru this summer ahhhhhhh! Hopefully! Yesyesyes! I miss it over there!!!","love"
"@exortabreedoll what happen to the maids of yours? Quit once again? ...","empty"
"Im awake. Anybody else awake? Wish I lived in the US since all the fun happens when Im asleep!","sadness"
"At Charles with the power out. LOL! Damn SaveMart lost power and we could not buy beer.","hate"
"@Penguin_J heehee. i love you! i am tired.","sadness"
"my mobile phone refuses to charge!!  either the battery is broken or the chargerrr ( booooo","worry"
"@Kirsten613 oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something","worry"
"@kimberly625 hmmm","worry"
"Morning everyone sorry for going early last night had bad news","sadness"
"went to the beach and it started raining","empty"
"how I wish my parents put me into a Chinese school when I was younger. Then","sadness"
"@AnthonyLucas @iainfunnell Yeah","relief"
"@nayRyelgiuQ airport? and you didnt show up tonight homo!","neutral"
"@charloro jealous  it looks like schindlers list in toronto","worry"
"I want another tatt","enthusiasm"
"@avalonabsinthe what?! Come as you are!!! But erock just left  bah D:","neutral"
"@joiskol  being in your room makes me sad.","sadness"
"Nearly fell asleep","worry"
"for the gays i only made 200 tonight","neutral"
"@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks","sadness"
"if one people did any wrong","sadness"
"@MandyAlwaysKnws nope.  they are all sleeping cuz they live on the east coast.","surprise"
"@dravenreborn I bet its cool down in SR","neutral"
"@meljachin: eww. dislike","sadness"
"Tactical mistake: going to the city library and buying milk. Who knew? OUCH OUCH OUCH. Maybe a good thing I didnt try for uni.","worry"
"decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....","neutral"
"@SuzyDunkley sorry bout the cat","sadness"
"needs to have an increase on her salary  http://plurk.com/p/wxluu","neutral"
"my stomach feels like its touching the ground..im SO full","worry"
"Pug just woke me from an incredible sleep!","love"
"@ddlovato i can`t wait to hear your new album. i`m sure will be amazing.please just replay to me  i love you so much!!!!","love"
"Sooo much work so little time","worry"
"missed iron chef","sadness"
"@thevowel the DS version sucks","sadness"
"what a bad day","sadness"
"@lilxamyx08 i know ridiculous! we never got to hang out  i love chicago and want to go shopping... so a trip sounds like fun","enthusiasm"
"hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs","hate"
"Ugh","worry"
"omg i didnt tweet all that much today.... *sadness*","surprise"
"is feeling so giddy and wanna go home.","worry"
"the week just wasnt the same without an adam lambert performance!!!","neutral"
"@rockingjude The link doesnt work","neutral"
"Up and packing. Its the last day of youth camp","worry"
"GOSSIP GIRL","neutral"
"Smh @ hiphop nursery rhymes","neutral"
"Somebody please save the polar bears!","worry"
"@PandaMayhem noooooooooooo i just look at a lot of pictures   lol lol","happiness"
"@CrazyBallerina Not really sleepy ...bored is the right word ... again not much work","surprise"
"It has come to my attention from a 16yo friend that Ive recently gained a TON of weight. He didnt know it was me.","worry"
"guess im staying home tonight...no movie-ing for me","worry"
"went to the cd store to search for the cd. But","sadness"
"@BuzzEdition reminds me of the weather a month ago it was horrible  I hope all is well hugs","worry"
